"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 30 03:44:49 UTC 2023","Mon Oct 30 03:44:52 UTC 2023","3534","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Mon Oct 30 04:49:56 UTC 2023","Mon Oct 30 04:50:07 UTC 2023","11104","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Mon Oct 30 03:18:45 UTC 2023","Mon Oct 30 03:18:50 UTC 2023","4418","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Mon Oct 30 03:15:23 UTC 2023","Mon Oct 30 03:15:31 UTC 2023","8213","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Mon Oct 30 03:18:50 UTC 2023","Mon Oct 30 03:20:02 UTC 2023","71752","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Mon Oct 30 04:22:14 UTC 2023","Mon Oct 30 04:22:32 UTC 2023","17924","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Mon Oct 30 02:30:45 UTC 2023","Mon Oct 30 02:30:57 UTC 2023","11863","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Mon Oct 30 03:52:21 UTC 2023","Mon Oct 30 03:52:27 UTC 2023","5943","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Mon Oct 30 04:22:52 UTC 2023","Mon Oct 30 04:22:53 UTC 2023","1578","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Mon Oct 30 03:26:26 UTC 2023","Mon Oct 30 03:26:42 UTC 2023","16475","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Mon Oct 30 02:43:35 UTC 2023","Mon Oct 30 02:43:36 UTC 2023","1151","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Mon Oct 30 03:18:37 UTC 2023","Mon Oct 30 03:18:40 UTC 2023","3202","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Mon Oct 30 03:32:43 UTC 2023","Mon Oct 30 03:33:24 UTC 2023","40841","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Mon Oct 30 02:43:18 UTC 2023","Mon Oct 30 02:43:21 UTC 2023","2864","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Mon Oct 30 02:39:45 UTC 2023","Mon Oct 30 02:39:55 UTC 2023","10638","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Mon Oct 30 02:50:55 UTC 2023","Mon Oct 30 02:50:58 UTC 2023","2932","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Mon Oct 30 04:05:13 UTC 2023","Mon Oct 30 04:06:02 UTC 2023","48938","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Mon Oct 30 03:25:39 UTC 2023","Mon Oct 30 03:25:59 UTC 2023","20179","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Mon Oct 30 03:44:52 UTC 2023","Mon Oct 30 03:44:54 UTC 2023","1696","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Mon Oct 30 03:52:04 UTC 2023","Mon Oct 30 03:52:20 UTC 2023","16361","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Mon Oct 30 02:48:14 UTC 2023","Mon Oct 30 02:48:24 UTC 2023","9397","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Mon Oct 30 04:08:46 UTC 2023","Mon Oct 30 04:09:03 UTC 2023","16971","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
